11/3/2022  11:12 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-3.08	-1.840	0.000
2	0.54	0.780	1.100
3	0.60	0.920	1.150
4	0.74	1.080	1.200
5	0.82	1.260	1.250
6	0.90	1.440	1.300
7	0.98	1.600	1.350
8	1.12	1.760	1.400
9	1.22	1.920	1.450
10	1.30	2.100	1.500
11	1.38	2.260	1.550
12	1.56	2.420	1.600
13	1.66	2.600	1.650
14	1.72	2.760	1.700
15	1.92	2.940	1.750
16	2.00	3.080	1.800
17	2.08	3.260	1.850
18	2.16	3.420	1.900
19	2.36	3.600	1.950
20	2.48	3.740	2.000
21	2.60	3.920	2.050
22	2.84	4.100	2.100
23	2.96	4.260	2.150
24	2.92	4.440	2.200
25	3.04	4.580	2.250
26	3.34	4.760	2.300
27	3.50	4.940	2.350
28	3.64	5.100	2.400
29	3.80	5.280	2.450
30	3.92	5.420	2.500
31	4.10	5.600	2.550
32	4.26	5.760	2.600
33	4.60	5.940	2.650
34	4.72	6.080	2.700
35	4.84	6.260	2.750
36	5.02	6.440	2.800
37	5.40	6.620	2.850
38	5.58	6.780	2.900
39	5.74	6.940	2.950
40	5.98	7.100	3.000
41	6.18	7.280	3.050
42	6.36	7.440	3.100
43	6.56	7.600	3.150
44	6.84	7.760	3.200
45	7.02	7.940	3.250
46	7.24	8.120	3.300
47	7.44	8.280	3.350
48	7.84	8.440	3.400
49	7.94	8.600	3.450
50	8.14	8.780	3.502
51	8.56	8.960	3.550
52	8.76	9.100	3.600
53	8.96	9.280	3.650
54	9.10	9.440	3.700
55	9.42	9.620	3.750
56	9.56	9.760	3.800
57	9.72	9.940	3.850
58	9.84	10.100	3.900
59	10.14	10.280	3.950
60	10.26	10.460	4.000
61	10.42	10.600	4.050
62	10.80	10.780	4.100
63	10.92	10.940	4.150
64	11.06	11.120	4.200
65	11.16	11.260	4.252
66	11.52	11.440	4.300
67	11.68	11.600	4.350
68	11.76	11.780	4.400
69	11.98	11.960	4.450
70	12.08	12.100	4.500
71	12.20	12.280	4.550
72	12.26	12.440	4.600
73	12.34	12.620	4.650
74	12.40	12.800	4.700
75	12.54	12.940	4.750
76	12.70	13.120	4.800
77	12.60	13.300	4.850
78	12.36	13.460	4.901
79	12.04	13.620	4.950
80	11.48	13.780	5.000
81	11.46	13.960	5.051
82	11.56	14.120	5.100
83	11.70	14.300	5.151
84	11.90	14.460	5.200
85	11.92	14.620	5.250
86	11.98	14.800	5.301
87	12.18	14.960	5.350
88	12.26	15.120	5.401
89	12.34	15.280	5.450
90	12.40	15.460	5.500
91	5.34	15.620	5.550
92	4.28	15.780	5.601
93	3.58	15.960	5.650
94	2.96	16.120	5.701
95	2.44	16.300	5.750
96	2.38	16.480	5.800
97	2.38	16.620	5.850
98	2.32	16.800	5.901
99	0.56	17.040	5.950
100	0.08	17.060	6.001
101	0.00	17.060	6.050
102	0.00	17.060	6.100
103	0.00	17.060	6.151
104	0.00	17.060	6.200
105	0.00	17.060	6.250
106	0.00	17.060	6.300
107	0.00	17.080	6.350
108	0.02	17.080	6.400
109	0.00	17.080	6.451
110	0.00	17.080	6.500
111	0.00	17.080	6.550
112	0.00	17.080	6.601
113	0.00	17.080	6.650
114	0.00	17.080	6.701
115	0.00	17.080	6.750
116	0.00	17.080	6.800
117	0.00	17.080	6.851
118	0.00	17.080	6.900
119	0.00	17.080	6.951
120	0.00	17.080	7.000
121	0.00	17.080	7.050
122	0.00	17.080	7.100
123	0.00	17.080	7.150
124	0.00	17.080	7.200
125	0.00	17.080	7.250
126	0.00	17.080	7.300
127	0.00	17.080	7.351
128	0.00	17.080	7.400
129	0.00	17.080	7.451
130	0.00	17.080	7.500
131	0.00	17.080	7.550
132	0.00	17.080	7.601
133	0.02	17.080	7.650
134	0.00	17.080	7.700
135	0.00	17.080	7.750
136	0.00	17.080	7.801
137	0.00	17.080	7.850
138	0.00	17.080	7.901
139	0.00	17.080	7.950
140	0.00	17.080	8.001
141	0.00	17.080	8.050
142	0.00	17.080	8.101
143	0.00	17.080	8.150
144	0.00	17.080	8.201
145	0.00	17.080	8.250
146	0.02	17.080	8.301
147	0.00	17.080	8.350
148	0.00	17.080	8.400
149	0.00	17.080	8.450
150	0.00	17.080	8.501
151	0.00	17.080	8.550
152	0.00	17.080	8.600
153	0.00	17.080	8.650
154	0.00	17.080	8.701
155	0.00	17.080	8.750
156	0.00	17.080	8.800
157	0.00	17.080	8.850
158	0.00	17.080	8.901
159	0.00	17.080	8.950
